City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Sistranda,NO,63.73,8.83,275.32,85,100,6.12,moderate rain
1,Mataura,NZ,-46.19,168.86,283.97,91,100,1.41,overcast clouds
2,East London,ZA,-33.02,27.91,299.89,80,0,7.3,clear sky
3,Rikitea,PF,-23.12,-134.97,299.22,71,48,7.1,light rain
4,Atuona,PF,-9.8,-139.03,298.24,79,10,6.12,light rain
5,Kapaa,US,22.08,-159.32,293.14,97,75,3.09,broken clouds
6,Vardo,NO,70.37,31.11,269.89,71,37,5.98,scattered clouds
7,Hobart,AU,-42.88,147.33,287.07,74,92,3.6,overcast clouds
8,Pochutla,MX,15.74,-96.47,302.05,45,21,1.48,few clouds
9,Upernavik,GL,72.79,-56.15,252.69,98,100,6.21,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,283.94,61,46,18.01,scattered clouds
11,Hermanus,ZA,-34.42,19.23,296.43,81,96,3.07,overcast clouds
12,Le Port,RE,-20.94,55.29,300.15,74,28,2.95,scattered clouds
13,Ilulissat,GL,69.22,-51.1,274.16,51,75,6.17,broken clouds
14,Castro,BR,-24.79,-50.01,298.84,47,0,1.78,clear sky
15,Butaritari,KI,3.07,172.79,300.85,77,46,7.69,scattered clouds
16,Northam,GB,51.03,-4.22,282.05,92,100,9.15,light rain
17,Kavieng,PG,-2.57,150.8,300.27,77,100,1.1,light rain
18,Tautira,PF,-17.73,-149.15,297.16,76,98,5.5,overcast clouds
19,Tongliao,CN,43.61,122.27,250.18,100,12,2.1,few clouds
20,Yanam,IN,16.73,82.22,296.21,83,11,2.47,few clouds
21,Kodiak,US,57.79,-152.41,276.88,65,0,4.63,clear sky
22,Mutis,CO,6.23,-77.4,298.48,89,96,1.0,overcast clouds
23,Ponta Do Sol,PT,32.67,-17.1,294.1,65,14,1.19,few clouds
24,Sibiti,CG,-3.68,13.35,300.28,69,28,1.65,light rain
25,Mahebourg,MU,-20.41,57.7,300.31,78,40,0.51,scattered clouds
26,Norman Wells,CA,65.28,-126.83,247.17,70,40,3.6,scattered clouds
27,Busselton,AU,-33.65,115.33,287.09,68,0,6.55,clear sky
28,Katsuura,JP,35.13,140.3,278.21,56,100,1.44,overcast clouds
29,Souillac,MU,-20.52,57.52,300.36,78,40,0.51,scattered clouds
30,Provideniya,RU,64.38,-173.3,248.61,83,2,2.73,clear sky
31,Kolyshley,RU,52.7,44.54,271.55,97,100,3.3,overcast clouds
32,Hay River,CA,60.82,-115.8,242.14,76,40,1.54,scattered clouds
33,Pimentel,PE,-6.84,-79.93,298.31,65,0,2.06,clear sky
34,Chuy,UY,-33.7,-53.46,297.59,77,100,2.95,overcast clouds
35,Kaitangata,NZ,-46.28,169.85,284.22,65,100,4.2,overcast clouds
36,Hasaki,JP,35.73,140.83,271.37,58,34,3.03,scattered clouds
37,Lebu,CL,-37.62,-73.65,294.1,53,5,5.57,clear sky
38,Yulara,AU,-25.24,130.99,297.06,31,3,3.09,clear sky
39,Arraial Do Cabo,BR,-22.97,-42.03,300.07,69,75,2.57,broken clouds
40,Lakhna,IN,26.65,79.15,287.09,42,0,1.83,clear sky
41,Hudiksvall,SE,61.73,17.1,275.32,80,100,4.71,overcast clouds
42,Salym,RU,60.06,71.48,255.93,94,21,3.52,few clouds
43,Cherskiy,RU,68.75,161.3,242.14,98,100,4.06,overcast clouds
44,Adana,TR,36.98,35.29,287.44,67,0,2.06,clear sky
45,Kahului,US,20.89,-156.47,294.73,80,20,1.79,few clouds
46,Bluff,NZ,-46.6,168.33,284.15,65,75,6.41,broken clouds
47,Roxana,CR,10.28,-83.75,308.82,52,98,2.35,overcast clouds
48,Thompson,CA,55.74,-97.86,246.24,69,0,3.6,clear sky
49,Hithadhoo,MV,-0.6,73.08,300.86,67,82,4.32,broken clouds
50,Pisco,PE,-13.7,-76.22,296.49,64,0,3.09,clear sky
51,Bundaberg,AU,-24.85,152.35,294.31,86,31,3.09,scattered clouds
52,Cayenne,GF,4.93,-52.33,300.17,87,75,6.69,broken clouds
53,Mar Del Plata,AR,-38.0,-57.56,292.16,67,20,9.26,few clouds
54,Ebolowa,CM,2.9,11.15,305.75,33,41,2.28,scattered clouds
55,Coahuayana,MX,18.73,-103.68,300.87,33,64,2.36,broken clouds
56,Dikson,RU,73.51,80.55,255.55,75,100,12.59,overcast clouds
57,Albany,US,42.6,-73.97,283.38,45,99,3.13,overcast clouds
58,Burnie,AU,-41.07,145.92,288.92,74,64,6.28,broken clouds
59,Bredasdorp,ZA,-34.53,20.04,294.97,73,47,4.12,scattered clouds
60,Airai,TL,-8.93,125.41,288.52,94,83,1.09,broken clouds
61,Dandong,CN,40.13,124.39,271.8,56,100,3.18,overcast clouds
62,Ribeira Grande,PT,38.52,-28.7,290.37,82,75,8.75,broken clouds
63,Labuhan,ID,-6.88,112.21,298.49,85,100,2.19,heavy intensity rain
64,Holt,US,42.64,-84.52,267.01,67,100,6.69,overcast clouds
65,Dalhousie,IN,32.53,75.98,275.96,59,0,2.74,clear sky
66,Kathmandu,NP,27.72,85.32,283.27,87,20,2.06,few clouds
67,Lompoc,US,34.64,-120.46,296.92,45,0,5.66,clear sky
68,Pangai,TO,-19.8,-174.35,300.85,76,38,7.06,scattered clouds
69,Port Alfred,ZA,-33.59,26.89,299.37,83,8,8.24,clear sky
70,Nichinan,JP,31.6,131.37,284.92,92,100,3.05,overcast clouds
71,Port Blair,IN,11.67,92.75,298.87,67,8,6.87,clear sky
72,Sandpoint,US,48.28,-116.55,271.2,100,0,0.0,clear sky
73,Puerto Ayora,EC,-0.74,-90.35,300.13,86,91,1.79,overcast clouds
74,Korla,CN,41.76,86.15,271.61,45,77,1.08,broken clouds
75,Bilibino,RU,68.05,166.44,234.55,100,91,0.6,overcast clouds
