City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2022-02-11 17:29:32,73.5069,80.5464,258.16,90,100,11.91
1,Thompson,CA,2022-02-11 17:26:33,55.7435,-97.8558,241.24,62,0,3.09
2,Sao Jose Da Coroa Grande,BR,2022-02-11 17:34:20,-8.8978,-35.1478,303.24,56,74,6.15
3,Odesskoye,RU,2022-02-11 17:34:20,54.2111,72.9651,249.46,98,7,5.16
4,Port Lincoln,AU,2022-02-11 17:33:23,-34.7333,135.8667,290.37,78,0,6.19
5,Amapa,BR,2022-02-11 17:34:21,1.0,-52.0,301.05,76,89,1.31
6,Vaini,TO,2022-02-11 17:34:21,-21.2,-175.2,299.24,94,40,2.06
7,Tasiilaq,GL,2022-02-11 17:34:22,65.6145,-37.6368,264.24,59,100,2.45
8,Ushuaia,AR,2022-02-11 17:34:22,-54.8,-68.3,285.94,66,40,13.38
9,Armizonskoye,RU,2022-02-11 17:34:23,55.9461,67.6736,256.01,86,100,8.6
10,Tautira,PF,2022-02-11 17:34:23,-17.7333,-149.15,301.16,74,46,6.79
11,Bredasdorp,ZA,2022-02-11 17:34:23,-34.5322,20.0403,294.97,68,1,3.6
12,Prescott,US,2022-02-11 17:31:27,34.54,-112.4685,287.57,34,0,2.57
13,Naze,JP,2022-02-11 17:34:24,28.3667,129.4833,287.09,64,97,2.97
14,Nikolskoye,RU,2022-02-11 17:34:24,59.7035,30.7861,271.37,91,82,4.05
15,Bluff,NZ,2022-02-11 17:34:25,-46.6,168.3333,284.71,73,52,6.52
16,Sakakah,SA,2022-02-11 17:34:25,29.9697,40.2064,285.91,40,94,3.56
17,Dauphin,CA,2022-02-11 17:33:21,51.1494,-100.0502,248.23,64,0,3.6
18,Rikitea,PF,2022-02-11 17:34:26,-23.1203,-134.9692,299.25,73,2,7.93
19,New Norfolk,AU,2022-02-11 17:34:26,-42.7826,147.0587,283.55,64,1,1.03
20,Tuktoyaktuk,CA,2022-02-11 17:34:26,69.4541,-133.0374,244.15,69,20,7.2
21,Sann,PK,2022-02-11 17:34:27,26.0418,68.1378,290.1,18,0,3.11
22,Denpasar,ID,2022-02-11 17:33:32,-8.65,115.2167,297.99,100,40,0.51
23,Lebu,CL,2022-02-11 17:34:27,-37.6167,-73.65,289.28,59,1,10.37
24,Saskylakh,RU,2022-02-11 17:34:28,71.9167,114.0833,256.7,91,99,5.88
25,Guerrero Negro,MX,2022-02-11 17:34:28,27.9769,-114.0611,295.09,26,0,1.91
26,Sisimiut,GL,2022-02-11 17:34:29,66.9395,-53.6735,268.24,93,100,5.58
27,Yellowknife,CA,2022-02-11 17:34:29,62.456,-114.3525,246.16,91,75,2.06
28,Mount Gambier,AU,2022-02-11 17:33:51,-37.8333,140.7667,283.1,87,3,2.06
29,Rawson,AR,2022-02-11 17:34:29,-43.3002,-65.1023,295.04,22,0,1.79
30,Kapaa,US,2022-02-11 17:34:30,22.0752,-159.319,292.14,94,40,3.6
31,Bambous Virieux,MU,2022-02-11 17:33:11,-20.3428,57.7575,299.29,83,40,1.03
32,Nova Vicosa,BR,2022-02-11 17:34:31,-17.8919,-39.3719,301.93,63,36,4.44
33,Butaritari,KI,2022-02-11 17:34:31,3.0707,172.7902,300.27,80,73,7.4
34,Challapata,BO,2022-02-11 17:34:32,-18.9,-66.7667,287.25,47,33,1.58
35,Bonthe,SL,2022-02-11 17:34:32,7.5264,-12.505,301.39,70,22,6.01
36,Arraial Do Cabo,BR,2022-02-11 17:31:18,-22.9661,-42.0278,297.13,94,75,5.14
37,Saint-Philippe,RE,2022-02-11 17:34:32,-21.3585,55.7679,298.92,77,31,3.44
38,Castro,BR,2022-02-11 17:34:33,-24.7911,-50.0119,299.96,42,0,1.55
39,Eureka,US,2022-02-11 17:32:34,40.8021,-124.1637,286.8,58,1,0.3
40,Sovik,NO,2022-02-11 17:34:33,65.9333,12.4667,273.14,81,75,2.24
41,Torbay,CA,2022-02-11 17:34:34,47.6666,-52.7314,279.58,77,75,9.77
42,Fairbanks,US,2022-02-11 17:25:02,64.8378,-147.7164,253.13,75,0,3.6
43,Port Alfred,ZA,2022-02-11 17:34:34,-33.5906,26.891,294.53,82,2,2.03
44,Carnarvon,AU,2022-02-11 17:30:54,-24.8667,113.6333,300.19,74,14,3.09
45,Burnie,AU,2022-02-11 17:35:34,-41.0667,145.9167,287.33,82,98,4.04
46,Craig,US,2022-02-11 17:35:35,40.5153,-107.5464,275.84,86,0,1.54
47,Hilo,US,2022-02-11 17:31:24,19.7297,-155.09,292.94,82,40,3.09
48,Hermanus,ZA,2022-02-11 17:31:56,-34.4187,19.2345,295.26,86,9,1.96
49,Provideniya,RU,2022-02-11 17:35:35,64.3833,-173.3,245.73,93,14,4.02
50,Albany,US,2022-02-11 17:21:09,42.6001,-73.9662,282.64,46,46,1.34
51,Palmares Do Sul,BR,2022-02-11 17:35:36,-30.2578,-50.5097,302.03,56,0,7.64
52,Busselton,AU,2022-02-11 17:31:16,-33.65,115.3333,289.31,89,23,1.96
53,Ballater,GB,2022-02-11 17:35:36,57.0493,-3.0402,276.9,80,85,5.16
54,Linhares,BR,2022-02-11 17:35:37,-19.3911,-40.0722,301.53,73,82,2.52
55,Oranjestad,AW,2022-02-11 17:31:44,12.524,-70.027,302.12,61,20,11.83
56,Pangnirtung,CA,2022-02-11 17:35:37,66.1451,-65.7125,257.15,55,100,3.09
57,Faanui,PF,2022-02-11 17:35:37,-16.4833,-151.75,300.22,74,13,6.07
58,Atuona,PF,2022-02-11 17:35:38,-9.8,-139.0333,298.34,77,18,6.49
59,Ilulissat,GL,2022-02-11 17:33:10,69.2167,-51.1,268.16,63,75,4.63
60,San Andres,CO,2022-02-11 17:35:38,12.5847,-81.7006,303.16,66,20,6.17
61,Cuamba,MZ,2022-02-11 17:35:39,-14.8031,36.5372,294.25,95,99,0.9
